Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
1117285M,2003-11-17 00:00:00,2003-10-04 00:00:00,ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),140.0,Settled,20.0,Settle,44.0,120.0
2006051106049,2006-05-09 00:00:00,2006-02-20 00:00:00,LGA,LaGuardia,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),150.0,Settled,50.0,Settle,78.0,100.0
2006071809668,2006-07-14 00:00:00,2006-06-27 00:00:00,OMA,Eppley Airfield,Delta Air Lines,Property Damage,Checked Baggage,Locks; Luggage (all types including footlockers),130.0,Settled,50.0,Settle,17.0,80.0
2009062460579,2009-06-23 00:00:00,2009-06-15 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,UAL,Passenger Property Loss,Checkpoint,Other,59.0,Approved,59.0,Approve in Full,8.0,0.0
2009032056561,2009-03-04 00:00:00,2009-01-16 00:00:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,69.95,Approved,69.95,Approve in Full,47.0,0.0
2007020220108,2007-01-23 00:00:00,2006-12-21 00:00:00,MDW,Midway International Airport,Southwest Airlines,Property Damage,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Electrical and Gas Appliances Minor - $200 or less (humidifiers; tv's; etc),101.66,Denied,0.0,Deny,33.0,101.66
0612050L,2003-06-12 00:00:00,2003-06-03 00:00:00,LGA,LaGuardia,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,25.0,Approved,25.0,Approve in Full,9.0,0.0
2005120196759,2005-11-18 00:00:00,2005-09-28 00:00:00,BUF,Buffalo Niagara International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,101.65,Approved,101.65,Approve in Full,51.0,0.0
2008102751565,2008-10-23 00:00:00,2008-09-25 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Continental Airlines,Passenger Property Loss,Checked Baggage,GPS - Global Positioning System,300.0,Denied,0.0,Deny,28.0,300.0
2004122971508,2004-11-23 00:00:00,2004-07-24 00:00:00,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Currency,373.15,Denied,0.0,Deny,122.0,373.15
2006031603201,2006-03-07 00:00:00,2006-02-10 00:00:00,EVV,Evansville Regional Airport,Northwest Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),29.99,Approved,29.99,Approve in Full,25.0,0.0
0401065L,2003-04-01 00:00:00,2003-02-15 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),50.0,Denied,0.0,Deny,45.0,50.0
2004072359955,2004-06-29 00:00:00,2004-06-24 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Locks,10.55,Denied,0.0,Deny,5.0,10.55
2007062727555,2007-06-25 00:00:00,2006-10-11 00:00:00,IAD,Washington Dulles International,Lufthansa,Property Damage,Checked Baggage,Books - Other (Hardcover non-fiction),45.0,Denied,0.0,Deny,257.0,45.0
2005052385305,2005-05-20 00:00:00,2005-05-07 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Passenger Property Loss,Checked Baggage,Other,179.98,Settled,161.98,Settle,13.0,18.0
2009101964524,2009-10-14 00:00:00,2009-03-17 00:00:00,IAD,Washington Dulles International,Southwest Airlines,Passenger Property Loss,Checked Baggage,MP3 Players-(iPods; etc); Other,80.68,Denied,0.0,Deny,211.0,80.68
2006021301460,2006-02-07 00:00:00,2006-01-19 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,UAL,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,160.0,Approved,160.0,Approve in Full,19.0,0.0
2005011173474,2004-12-22 00:00:00,2004-11-22 00:00:00,PDX,Portland International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,30.0,Approved,25.0,Approve in Full,30.0,5.0
2009061760307,2009-06-11 00:00:00,2009-05-31 00:00:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checkpoint,Watches - Inexpensive $100 or less,45.0,Denied,0.0,Deny,11.0,45.0
2009082062792,2009-09-18 00:00:00,2009-08-01 00:00:00,GTF,Great Falls International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),250.0,Denied,0.0,Deny,48.0,250.0
2007030521912,2007-03-02 00:00:00,2007-02-22 00:00:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checked Baggage,Tools - Manual (not in a vehicle),532.24,Denied,0.0,Deny,8.0,532.24
2005091692589,2005-09-06 00:00:00,2005-06-27 00:00:00,IND,Indianapolis International,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),149.99,Approved,149.99,Approve in Full,71.0,0.0
0423024L,2003-04-23 00:00:00,2003-04-03 00:00:00,PBI,Palm Beach International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),179.0,Denied,0.0,Deny,20.0,179.0
1217083M,2003-12-17 00:00:00,2003-01-24 00:00:00,MIA,Miami International Airport,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,511.88,Denied,0.0,Deny,327.0,511.88
2009080762411,2009-08-06 00:00:00,2009-06-30 00:00:00,SJC,Norman Y Mineta San Jose International,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers); Other,223.87,Approved,223.87,Approve in Full,37.0,0.0
2005070588183,2005-06-27 00:00:00,2005-01-18 00:00:00,ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),100.0,Denied,0.0,Deny,160.0,100.0
2006071009181,2006-07-07 00:00:00,2006-06-14 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,75.69,Settled,39.84,Settle,23.0,35.849999999999994
2005110795701,2005-10-27 00:00:00,2005-10-06 00:00:00,STL,Lambert St. Louis International,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),80.0,Denied,0.0,Deny,21.0,80.0
2005041382447,2005-04-12 00:00:00,2005-04-07 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checkpoint,Currency,100.0,Approved,100.0,Approve in Full,5.0,0.0
2007062627498,2007-06-21 00:00:00,2007-06-17 00:00:00,EYW,Key West International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,537.0,Denied,0.0,Deny,4.0,537.0
0219572M,2004-02-19 00:00:00,2004-02-01 00:00:00,JFK,John F. Kennedy International,Delta Air Lines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,1000.0,Settled,427.0,Settle,18.0,573.0
2007101133260,2007-10-04 00:00:00,2007-09-08 00:00:00,ONT,Ontario International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,386.44,Denied,0.0,Deny,26.0,386.44
2005120897353,2005-11-22 00:00:00,2005-10-16 00:00:00,LAX,Los Angeles International Airport,UAL,Passenger Property Loss,Checked Baggage,Jewelry - Fine,248.0,Denied,0.0,Deny,37.0,248.0
2007080329583,2007-08-02 00:00:00,2007-07-15 00:00:00,MCO,Orlando International Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,265.0,Denied,0.0,Deny,18.0,265.0
2006092613252,2006-09-22 00:00:00,2006-09-11 00:00:00,SAT,San Antonio International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Luggage (all types including footlockers),124.0,Denied,0.0,Deny,11.0,124.0
2007121036250,2007-12-06 00:00:00,2007-09-09 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),179.99,Denied,0.0,Deny,88.0,179.99
2004060254358,2004-04-23 00:00:00,2004-04-18 00:00:00,DEN,Denver International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),150.0,Settled,75.0,Settle,5.0,75.0
2008092550417,2008-09-22 00:00:00,2008-08-07 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Other,828.0,Denied,0.0,Deny,46.0,828.0
2005081790708,2005-08-05 00:00:00,2005-06-05 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Other,39.28,Approved,39.28,Approve in Full,61.0,0.0
2005042183016,2005-04-19 00:00:00,2005-03-11 00:00:00,MHT,Manchester Regional Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,54.5,Denied,0.0,Deny,39.0,54.5
2009081162491,2009-08-10 00:00:00,2009-06-12 00:00:00,MIA,Miami International Airport,American Airlines,Property Damage,Checkpoint,Watches - Expensive more than $100,736.7,Approved,736.7,Approve in Full,59.0,0.0
2008040341801,2008-03-23 00:00:00,2008-02-25 00:00:00,PDX,Portland International,Horizon Air,Passenger Property Loss,Checked Baggage,Other,25.0,Denied,0.0,Deny,27.0,25.0
